symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
$S$ (number of states)	11286	Sequential Trade	Arrow--Debreu benchmark	yes	OVERLOADED	State count; $S$ was a coalition and later a feasible subset in order theory.	$\mathcal S=\{1,\dots,S\}$ is the finite state space.	not:state-space
$\omega_{is}$	11293	Sequential Trade	Arrow--Debreu benchmark	yes	INCONSISTENT	Entity-first indexing is preferable, but it conflicts with coordinate-first $\omega_{\ell i}$ in the Edgeworth section.	$\omega_{is}\in\mathbb R_+^L$ is consumer $i$'s endowment bundle in state $s$.	not:state-contingent-endowment
$x_{is}$	11297	Sequential Trade	Arrow--Debreu benchmark	yes	INCONSISTENT	Entity-first indexing is preferable, but it conflicts with coordinate-first $x_{\ell i}$ in the Edgeworth section.	$x_{is}\in\mathbb R_+^L$ is consumer $i$'s consumption bundle in state $s$.	not:state-contingent-consumption
$p=(p_s)_{s\in\mathcal S}$	11304	Sequential Trade	Arrow--Debreu benchmark	yes	OK	State-contingent commodity-price system.	$p_s\in\mathbb R_{++}^L$ and $p=(p_1,\dots,p_S)$.	not:ad-price-system
$I$ (consumer count in Sequential Trade)	11306	Sequential Trade	Arrow--Debreu benchmark	no	UNDEFINED	The allocation uses $x_I^*$ although this chapter never states the number or set of consumers.	Declare $\mathcal I=\{1,\dots,I\}$ before introducing consumer $i$.	not:sequential-consumers
$B_i^{AD}(p)$	11314	Sequential Trade	Arrow--Debreu benchmark	yes	OK	Arrow--Debreu budget set.	$B_i^{AD}(p):=\{x_i:\sum_sp_s\cdot x_{is}\leq\sum_sp_s\cdot\omega_{is}\}$.	not:ad-budget
$t=0$	11330	Sequential Trade	Spot markets and sequential trade	yes	OVERLOADED	Date index uses the same $t$ as observations and taxes.	Use date $d=0$ for asset trade and date $d=1$ for state-contingent spot trade.	not:trade-date
$K$	11333	Sequential Trade	Spot markets and sequential trade	yes	OVERLOADED	Number of assets here; $K_j$ is capital in CGE.	$\mathcal K=\{1,\dots,K\}$ indexes assets.	not:asset-set
$R$ (asset-payoff matrix)	11335	Sequential Trade	Spot markets and sequential trade	yes	OVERLOADED	Asset payoff matrix; $R$ later is a binary relation throughout the appendix.	$A\in\mathbb R^{S\times K}$ is the asset-payoff matrix.	not:asset-payoff-matrix
$R_{sk}$	11340	Sequential Trade	Spot markets and sequential trade	yes	OK	Entry of the payoff matrix.	$A_{sk}$ is the amount of good 1 paid by asset $k$ in state $s$.	not:asset-payoff-entry
$q$ (asset prices)	11345	Sequential Trade	Spot markets and sequential trade	yes	OVERLOADED	Asset-price vector; $q$ was output and a supporting commodity price.	$q^a\in\mathbb R^K$ is the date-0 asset-price vector.	not:asset-prices
$p_s$ (spot prices)	11350	Sequential Trade	Spot markets and sequential trade	yes	OK	State-$s$ spot-good price vector.	$p_s\in\mathbb R_{++}^L$ is the spot price vector in state $s$.	not:spot-prices
$z_i$ (asset holdings)	11357	Sequential Trade	Spot markets and sequential trade	yes	CONFLICT	Yet another meaning of $z$; here it is a portfolio.	Use $a_i\in\mathbb R^K$ for consumer $i$'s asset portfolio.	not:asset-portfolio
$p_{s1}$	11368	Sequential Trade	Spot markets and sequential trade	no	UNDERDEFINED	First-good spot price is inferable from $p_s$ but the coordinate convention is not stated.	$p_{s1}$ is the price of the numeraire/first good in state $s$.	not:state-numeraire-price
$\operatorname{rank}(R)$	11405	Sequential Trade	Spot markets and sequential trade	no	STANDARD	Full row rank encodes complete asset markets.	$\operatorname{rank}(A)=S$ means the payoff span equals $\mathbb R^S$.	not:asset-rank
$\psi$	11407	Sequential Trade	Spot markets and sequential trade	yes	OK	Strictly positive state-price vector induced by no arbitrage and spanning.	$\psi\in\mathbb R_{++}^S$ satisfies $q^a=A^\top\psi$.	not:state-prices
$\widetilde p_s$	11410	Sequential Trade	Spot markets and sequential trade	yes	OK	Arrow--Debreu commodity price synthesized from state and spot prices.	$\widetilde p_s:=(\psi_s/p_{s1})p_s$.	not:synthetic-ad-price
$M$ (men)	11641	Matching	One-to-one matching	yes	OVERLOADED	Agent set; $M$ already denotes outputs/imports.	Use $\mathcal M$ for the finite set of men/proposers.	not:matching-men
$W$ (women)	11643	Matching	One-to-one matching	yes	OVERLOADED	Agent set; $W$ denotes the wage in CGE.	Use $\mathcal W$ for the finite set of women/receivers.	not:matching-women
$\mu$ (matching)	11647	Matching	One-to-one matching	yes	OVERLOADED	Same glyph as the planner/Pareto multiplier; domain, codomain, and unmatched convention are only verbal.	$\mu:\mathcal M\cup\mathcal W\to\mathcal M\cup\mathcal W$ is an involution, with $\mu(a)=a$ for unmatched agents and cross-side matches otherwise.	not:matching-map
$\succ_m,\succ_w$	11662	Matching	One-to-one matching	no	UNDERDEFINED	Strict preference symbols first appear in the blocking condition; acceptability and self-ranking are only prose.	$\succ_a$ is agent $a$'s strict order on acceptable opposite-side agents plus self.	not:matching-preferences
$m_r:w_s\succ\cdots$	11765	Matching	Problems	yes	LOCAL_OK	Problem 13.1 preference-profile syntax.	Colon notation lists each agent's strict ranking in descending order for the exercise only.	not:problem-13-1-profile
$h_1,h_2,h_3$	11844	Matching	Problems	yes	LOCAL_OK	House labels in Problem 13.3.	$h_r$ is the house initially associated with the stated agent in the housing-market exercise.	not:problem-13-3-houses
$N$	11917	Computable General Equilibrium	A two-sector small open economy	yes	CONFLICT	Called aggregate labor, but the production function immediately uses undefined sectoral $N_j$.	$\bar N:=\sum_h\bar N_h$ is aggregate labor endowment; $N_j$ is sector $j$ labor demand.	not:cge-labor
$N_j$	11928	Computable General Equilibrium	A two-sector small open economy	no	UNDEFINED	Appears in the CES production function without being introduced after $N$ was called aggregate labor.	$N_j\geq0$ is labor employed in sector $j$, with $\sum_jN_j=\bar N$.	not:cge-sector-labor
$K_j$	11920	Computable General Equilibrium	A two-sector small open economy	yes	OK	Sector-specific capital input/endowment; later household ownership uses $\bar K_{hj}$.	$K_j\geq0$ is capital used by sector $j$.	not:cge-capital
$j$ (CGE sector index)	11924	Computable General Equilibrium	A two-sector small open economy	yes	OK	Persistent sector/good index; tariff notation later drifts to $i$.	$j\in\{1,2\}$ indexes sectors and their goods in the benchmark model.	not:cge-sector-index
$Q_j$	11928	Computable General Equilibrium	A two-sector small open economy	yes	OK	Sectoral gross output is defined by the CES equation.	$Q_j=F_j(K_j,N_j)$ is gross output of sector $j$.	not:cge-output
$A_j,\alpha_j,\rho_j$	11928	Computable General Equilibrium	A two-sector small open economy	yes	OK	CES technology parameters; restrictions follow immediately.	$A_j>0$ is productivity, $\alpha_j\in(0,1)$ the capital weight, and $\rho_j>-1$ with $\rho_j\ne0$.	not:cge-ces-parameters
$\sigma_j$	11943	Computable General Equilibrium	A two-sector small open economy	yes	OK	Elasticity of substitution implied by the CES curvature parameter.	$\sigma_j:=(1+\rho_j)^{-1}>0$.	not:cge-elasticity
$\bar Q_j$	11950	Computable General Equilibrium	A two-sector small open economy	yes	OK	Target output in conditional cost minimization.	$\bar Q_j\geq0$ is the output requirement in sector $j$'s cost problem.	not:cge-output-target
$r_j,W$	11952	Computable General Equilibrium	A two-sector small open economy	yes	OVERLOADED	Sectoral capital rental and common wage; $W$ was the set of women and $w$ elsewhere wealth/input prices.	$r_j$ is the rental price of sector-specific capital and $w_N$ the common wage.	not:cge-factor-prices
$c_j(r_j,W,\bar Q_j)$	11956	Computable General Equilibrium	A two-sector small open economy	yes	OK	CGE conditional cost function.	$c_j(r_j,w_N,\bar Q_j):=\min\{r_jK_j+w_NN_j:F_j(K_j,N_j)\geq\bar Q_j\}$.	not:cge-cost
$K_j^D,N_j^D$	11964	Computable General Equilibrium	A two-sector small open economy	yes	OK	Conditional factor demands from Shephard's lemma.	$K_j^D:=\partial c_j/\partial r_j$ and $N_j^D:=\partial c_j/\partial w_N$.	not:cge-factor-demand
$P_j$	11970	Computable General Equilibrium	A two-sector small open economy	yes	OK	Domestic good price is named in prose to distinguish it from $\rho_j$.	$P_j$ is the domestic purchaser/producer price of good $j$, with the wedge specified when relevant.	not:cge-domestic-price
$Q_{h,j}^D$	11986	Computable General Equilibrium	Social accounting and calibration	no	NOTATION_DRIFT	Household demand is denoted $Q_{h,j}^D$ here but $x_{hj}$ in the next section.	Use one notation, preferably $x_{hj}$, for household $h$'s demand for good $j$.	not:cge-household-demand
$\beta_{h,j}$	11986	Computable General Equilibrium	Social accounting and calibration	yes	OK	Cobb--Douglas expenditure share, identified by benchmark data.	$\beta_{hj}:=P_jx_{hj}/Y_h$ and $\sum_j\beta_{hj}=1$ when the full budget is allocated to these goods.	not:cge-budget-share
$Y_h$ (household income)	11986	Computable General Equilibrium	Social accounting and calibration	no	LATE_DEFINED	Used in the calibration equation before the income identity at 11995; conflicts visually with production set $Y$.	Use $m_h$ for household income, defined before expenditure shares.	not:cge-household-income
$h$	11986	Computable General Equilibrium	Social accounting and calibration	no	LATE_DEFINED	First appears in $Q_{h,j}^D$; households are declared only at line 12002.	$\mathcal H=\{1,\dots,H\}$ indexes households; declare it before Social accounting and calibration.	not:cge-households
$\bar N_h,\bar K_{hj},T_h,\Pi_h,\operatorname{Tax}_h$	12009	Computable General Equilibrium	Equilibrium closure	no	UNDERDEFINED	Prose lists factor ownership, taxes, transfers, and profits but does not map each term or state sign conventions.	$\bar N_h$ and $\bar K_{hj}$ are factor endowments; $T_h$ transfers received; $\Pi_h$ distributed profits/tariff revenue; $\operatorname{Tax}_h$ direct taxes paid.	not:cge-income-components
$x_{hj}(P,Y_h)$	12015	Computable General Equilibrium	Equilibrium closure	yes	NOTATION_DRIFT	Same economic object as $Q_{h,j}^D$ at 11972; price vector $P$ is not defined.	$x_{hj}(P,m_h)$ is household $h$'s demand for good $j$.	not:cge-demand-system
$P$ (CGE price vector)	12015	Computable General Equilibrium	Equilibrium closure	no	UNDEFINED	Appears as an argument of demand with no dimension or component definition.	$P:=(P_1,\dots,P_J)\in\mathbb R_{++}^J$ is the domestic goods-price vector.	not:cge-price-vector
$M_j,G_j,I_j,X_j,a_{jk}$	12022	Computable General Equilibrium	Equilibrium closure	no	UNDERDEFINED	The prose names flows in sequence, but the formula never maps symbols explicitly; $X_j$ also conflicts with consumption sets.	$M_j$ imports, $G_j$ government demand, $I_j$ investment, $X_j^{\mathrm{exp}}$ exports, and $a_{jk}$ units of good $j$ per unit of sector-$k$ output.	not:cge-resource-balance
$P_j^W$	12042	Computable General Equilibrium	Equilibrium closure	no	LATE_DEFINED	World prices enter balanced trade before $P_i^W$ is defined in Counterfactual policies.	$P_j^W>0$ is the exogenous world price of traded good $j$.	not:cge-world-price
$\mathrm{ER}$	12052	Computable General Equilibrium	Equilibrium closure	no	LATE_DEFINED	Used as a possible numeraire before line 12070 defines it as the exchange rate.	$\mathrm{ER}>0$ is domestic currency per unit of foreign currency.	not:cge-exchange-rate
$\tau_i$	12075	Computable General Equilibrium	Counterfactual policies	yes	INCONSISTENT	Imported goods are indexed by $i$ although sectors/goods were indexed by $j$ and $i$ commonly indexes consumers.	Use $\tau_j\geq0$ for the tariff rate on imported good/sector $j$.	not:cge-tariff
$P_i=\mathrm{ER}P_i^W(1+\tau_i)$	12078	Computable General Equilibrium	Counterfactual policies	yes	INCONSISTENT	Index drift from sector $j$ to good $i$ obscures connection to the equilibrium system.	$P_j^{\mathrm{tar}}:=\mathrm{ER}P_j^W(1+\tau_j)$ for imported sector $j$.	not:cge-tariff-price
$\ell$ (labor in CES problem)	12126	Computable General Equilibrium	Problems	yes	NOTATION_DRIFT	Problem 15.1 replaces the chapter's labor $N_j$ by $\ell$ without explanation.	Use $N$ consistently for labor quantity, reserving $\ell$ for commodity indices.	not:problem-15-1-labor
$D(P)$	12229	Computable General Equilibrium	Problems	yes	LOCAL_OK	Problem 15.3 domestic demand.	$D(P)$ is differentiable domestic demand at price $P$.	not:problem-15-3-demand
$S(P)$	12232	Computable General Equilibrium	Problems	yes	LOCAL_OK	Problem 15.3 domestic supply.	$S(P)$ is differentiable competitive domestic supply.	not:problem-15-3-supply
$M(P)$	12235	Computable General Equilibrium	Problems	yes	LOCAL_OK	Problem 15.3 imports; conflicts with matching/output uses of $M$ but scope is explicit.	$M(P):=D(P)-S(P)>0$.	not:problem-15-3-imports
$\mathrm{TR}(\tau)$	12238	Computable General Equilibrium	Problems	yes	LOCAL_OK	Problem 15.3 tariff revenue.	$\mathrm{TR}(\tau):=\tau\,\mathrm{ER}\,P^W M(P(\tau))$.	not:problem-15-3-revenue
$\mathcal W,\mathrm{CS},\mathrm{PS}$	12255	Computable General Equilibrium	Problems	no	UNDERDEFINED	Welfare, consumer surplus, and producer surplus appear only in the requested decomposition, though prose names the latter two.	$\mathcal W:=\mathrm{CS}+\mathrm{PS}+\mathrm{TR}$ is partial-equilibrium welfare in Problem 15.3.	not:problem-15-3-welfare
$R$ and $xRy$	12315	Order Theory	(chapter introduction)	no	LATE_DEFINED	The ranking orientation is explained before $R$ is formally declared a binary relation at line 12344.	$R\subseteq X\times X$ and $xRy$ means $(x,y)\in R$, read “$x$ is ranked at least as high as $y$.”	not:binary-relation
$X$	12328	Order Theory	(chapter introduction)	yes	OVERLOADED	Nonempty ground set; $X_i$ denotes consumption sets and $X_j$ exports elsewhere.	$X$ is a nonempty ground set in the order-theory appendix.	not:order-ground-set
$R^{-1}$	12358	Order Theory	Binary Relations	yes	OK	Inverse relation.	$xR^{-1}y$ iff $yRx$.	not:inverse-relation
$R_{\mathrm{cw}}$	12544	Order Theory	Binary Relations / Important Classes of Relations	yes	AMBIGUOUS	The example calls the componentwise relation simply $R$, hiding that this is a particular relation.	$xR_{\mathrm{cw}}y$ iff $x_\ell\geq y_\ell$ for every $\ell$.	not:componentwise-relation
$R_{\mathrm{lex}}$	12573	Order Theory	Binary Relations / Important Classes of Relations	yes	OK	Lexicographic weak order on $\mathbb R^2$.	$xR_{\mathrm{lex}}y$ iff $x_1>y_1$ or $x_1=y_1$ and $x_2\geq y_2$.	not:lexicographic-relation
$I_R$	12603	Order Theory	Symmetric and Asymmetric Parts	yes	OK	Symmetric part/indifference relation.	$I_R:=R\cap R^{-1}$, so $xI_Ry$ iff $xRy$ and $yRx$.	not:symmetric-part
$P_R$	12607	Order Theory	Symmetric and Asymmetric Parts	yes	OK	Asymmetric/strict part.	$xP_Ry$ iff $xRy$ and not $yRx$.	not:strict-part
$E$	12697	Order Theory	Equivalence Classes and Quotient Orders	yes	OK	Generic equivalence relation.	$E\subseteq X\times X$ is an equivalence relation.	not:equivalence-relation
$[x]_E$	12706	Order Theory	Equivalence Classes and Quotient Orders	yes	OK	Equivalence class.	$[x]_E:=\{y\in X:yEx\}$.	not:equivalence-class
$X/E$	12711	Order Theory	Equivalence Classes and Quotient Orders	yes	OK	Quotient set.	$X/E:=\{[x]_E:x\in X\}$.	not:quotient-set
$\bar R$	12757	Order Theory	Equivalence Classes and Quotient Orders	yes	OK	Quotient partial order induced by a preorder.	$[x]_{I_R}\,\bar R\,[y]_{I_R}$ iff $xRy$.	not:quotient-order
$\operatorname{Max}(S,R)$	12845	Order Theory	Maximal and Greatest Elements	yes	OK	Set of maximal elements.	$\operatorname{Max}(S,R):=\{x\in S:\nexists y\in S,\ yP_Rx\}$.	not:maximal-elements
$\operatorname{Great}(S,R)$	12857	Order Theory	Maximal and Greatest Elements	yes	OK	Set of greatest elements.	$\operatorname{Great}(S,R):=\{x\in S:\forall y\in S,\ xRy\}$.	not:greatest-elements
$S$ (feasible subset)	12837	Order Theory	Maximal and Greatest Elements	yes	OVERLOADED	Feasible subset here; $S$ previously denotes coalitions and the state count.	$S\subseteq X$ is a nonempty feasible subset for maximal/greatest-element analysis.	not:order-feasible-subset
$\Delta_S$	12888	Order Theory	Maximal and Greatest Elements	no	LATE_DEFINED	Diagonal/identity relation is used in the example before the generic $\Delta_X$ is defined at line 13011.	$\Delta_S:=\{(s,s):s\in S\}$; define the diagonal before its first example.	not:diagonal-relation
$R^n$	12986	Order Theory	Transitive Closure	yes	OK	Relational powers are recursively defined.	$R^1:=R$ and $R^{n+1}:=R^n\circ R$ for $n\geq1$.	not:relation-powers
$\circ$ (relation composition)	12990	Order Theory	Transitive Closure	no	AMBIGUOUS	Composition orientation is not stated and conventions differ across texts.	$S\circ R:=\{(x,z):\exists y,\ xRy\land ySz\}$; state the adopted order explicitly.	not:relation-composition
$R^+$	12999	Order Theory	Transitive Closure	yes	OK	Transitive closure.	$R^+:=\bigcup_{n\geq1}R^n$, the least transitive relation containing $R$.	not:transitive-closure
$R^*$	13007	Order Theory	Transitive Closure	yes	OK	Reflexive-transitive closure.	$R^*:=\Delta_X\cup R^+$.	not:reflexive-transitive-closure
$\Delta_X$	13011	Order Theory	Transitive Closure	yes	LATE_DEFINED	Definition is correct here but comes after $\Delta_S$ at line 12888.	$\Delta_X:=\{(x,x):x\in X\}$ is the identity relation on $X$.	not:identity-relation
$R'$	13072	Order Theory	Order Extensions	yes	OK	Extension preorder.	$R'$ extends $R$ iff $R\subseteq R'$ and $P_R\subseteq P_{R'}$.	not:order-extension
$\bar R^{\mathrm{ext}}$	13160	Order Theory	Order Extensions	yes	OK	Linear extension of the quotient order.	$\bar R^{\mathrm{ext}}$ is a linear-order extension of $\bar R$ on $X/I_R$.	not:quotient-linear-extension
$R^{\mathrm{ext}}$	13172	Order Theory	Order Extensions	yes	OK	Pullback total-preorder extension.	$xR^{\mathrm{ext}}y$ iff $[x]_{I_R}\bar R^{\mathrm{ext}}[y]_{I_R}$.	not:preorder-extension
$|X|$	13257	Order Theory	Problems	no	STANDARD	Cardinality notation is conventional but not in the appendix glossary.	$|X|$ is the cardinality of $X$.	not:cardinality
$2^X$	13263	Order Theory	Problems	no	STANDARD	Power-set notation is conventional but not in the appendix glossary.	$2^X:=\{A:A\subseteq X\}$ is the power set.	not:powerset
$I$ (Problem A.2)	13299	Order Theory	Problems	yes	INCONSISTENT	The exercise drops the canonical subscript from $I_R$ and writes $X/I$, while the chapter repeatedly prescribes $I_R$.	Use $I_R$ and $X/I_R$ in Problem A.2.	not:problem-a2-indifference
